id,name,archived,payerId,createdAt,updatedAt
11318,Allied Benefit Systems,f,37308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11319,Alta Health & Life Insurance Company,f,80705,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11320,Ambetter from Managed Health Services (MHS),f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11321,Ambetter of Arkansas,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11322,Ambetter of Indiana,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11323,"AmeriBen Solutions, Inc. ",f,75137,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11324,America's PPO/America's TPA,f,41178,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11325,Americaid Community Care (Dallas/Fort Worth),f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11326,Americaid Community Care (Illinois),f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11327,Americaid Community Care Maryland,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11328,Americaid Community Care New Jersey,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11329,American Administrative Group,f,37283,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11330,American Administrative Group-AAG (formerly Gallagher Benefits),f,37283,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11331,American Eldercare,f,61101,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11332,American Family Insurance Company,f,Z0090,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11333,"American Medical Security, Inc. ",f,81400,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11334,American National Insurance Co (ANICO),f,74048,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11335,American Postal Workers Union (APWU),f,44444,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11336,American Postal Workers Union (APWU) ,f,44445,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11337,American Republic Insurance Company (ARIC),f,42011,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11338,American Retirement Life Insurance Company,f,13193,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11339,Americas PPO ARAZ Group,f,41178,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11340,Americhoice by UnitedHealthcare,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11341,Americhoice of Maryland,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11342,Americhoice of Nebraska,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11343,Americhoice of New Jersey,f,86047,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11344,AmeriChoice of New Jersey Personal Care Plus (NJ Medicare),f,86047,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11345,Americhoice of New York and Upstate,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11346,AmeriChoice of New York Personal Care Plus (Medicare),f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11347,"Americhoice of New York, Inc. (NY Medicaid)",f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11348,Americhoice of Texas,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11349,Americhoice of Wisconsin,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11350,Americhoice Tenncare,f,95378,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11351,Amerigroup  Corporation (Houston),f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11352,Amerigroup - MD/DC,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11353,Amerigroup (Dallas/Ft Worth),f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11354,Amerigroup (San Antonio),f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11355,Amerigroup (Tenncare Select),f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11356,AMERIGROUP CORPORATION,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11357,Amerigroup FL/ Physicians HealthCare Plans,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11358,Amerigroup Georgia,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11359,Amerigroup Health Plus NY,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11360,Amerigroup Houston,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11361,Amerigroup Illinois,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11362,Amerigroup Iowa,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11363,Amerigroup Louisiana,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11364,Amerigroup New Mexico,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11365,Amerigroup of Kansas Kansas (Kansas Medicaid),f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11366,"Amerigroup of Kansas, Inc. ",f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11367,Amerigroup Tennessee,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11368,Amerigroup TX,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11369,Amerigroup VA,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11370,Amerigroup Washington,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11371,AmeriHealth Administrators & Inter-County,f,54763,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11372,AmeriHealth Caritas Iowa,f,77075,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11373,AmeriHealth Caritas Louisiana,f,27357,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11374,AmeriHealth Caritas Pennsylvania,f,22248,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11375,AmeriHealth Caritas VIP Care,f,77062,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11376,AmeriHealth HMO,f,54763,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11377,Amerihealth Medi-Gap Plans,f,54704,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11378,AmeriHealth Mercy Health Plan,f,22248,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11379,AmeriHealth NorthEast,f,77001,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11380,Antares Management Solutions Westlake OH,f,34192,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11406,BCBS Alabama,f,SB510,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11382,Anthem HealthKeepers Medicare Advantage,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11383,Anthem Healthy Indiana,f,ZBIN0,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11384,Anthem Hoosier Healthwise,f,ZBIN0,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11385,APWU Health Plan (All States Except USVI),f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11386,Arizona Access Health choice,f,62179,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11387,Arizona Complete Health,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11388,Arizona Physicians IPA (UHC) Community Plan,f,3432,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11389,ASR Corporation,f,38265,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11390,ASR Health Benefits,f,38265,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11391,Associated Benefits Corporation,f,SB640,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11392,Asuris Northwest Health,f,93221,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11393,Atlanticare Administrators Inc,f,22099,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11394,AultCare,f,Z1224,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11395,Automated Benefit Services,f,38259,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11396,Avera Health Plans,f,46045,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11397,AVMA Group Health and Life Insurance Trust,f,79480,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11398,AvMed,f,59274,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11399,Azeros Health Care,f,16644,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11400,BABB Absence Management Services,f,13265,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11401,Bankers United Life,f,74227,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11402,Banner Health,f,12X42,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11403,Banner - University Family Care (University of Arizona Health Plans),f,66901,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11404,BCBS Medicaid Managed Care,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11405,BCBS Medicare Advantage Plans,f,66006,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11458,BCBS Texas Medicaid (DOS on or after 12/01/15),f,66001,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11459,BCBS Texas-Medicaid/STAR,f,66001,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11460,BCBS Utah - FEP ,f,SB910,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11461,BCBS Western New York Medicaid/CHP,f,246,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11462,Behavioral Health Systems,f,63100,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11463,Belton (BISD),f,88030,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11464,Benefit Trust Life,f,61425,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11465,Benesight,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11466,Beth Israel IPA,f,55247,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11467,Better Health of Florida,f,20488,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11468,Better Health Plans - Three Rivers Administrative Services (TRAS),f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11469,Better Health Plans of South Carolina,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11470,Blue Benefit Administrators of MA,f,3036,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11471,Blue Choice Health Plan of South Carolina,f,SB884,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11472,Blue Choice Medicaid Managed Care,f,Z1248,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11473,Blue Choice Medicaid of South Carolina,f,Z1248,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11474,Blue Cross Community Family Health Plan,f,SB621,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11475,Blue Cross Community Family Health PlanSM (FHP),f,MCDIL,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11476,Blue Cross Community ICP (Integrated Care Plan),f,MCDIL,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11477,Blue Cross Community MMAI (Medicare-Medicaid Plan),f,MCDIL,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11478,Blue Cross Community Option/66005,f,MCDIL,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11479,Blue Cross Independence (Pennsylvania),f,54704,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11480,Blue Cross of Alaska and Washington - Premera,f,SB930,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11481,Blue Cross of California,f,SB040,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11482,Blue Cross of Idaho (BC),f,ZBID0,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11483,Blue Cross of Pennsylvania CAIC - Capital (BC),f,23045,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11484,Blue Medicare North Carolina,f,7472,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11485,Blue Shield of California,f,SB542,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11486,BlueLink TPA,f,SB720,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11487,Boston Medical Center Health Plan,f,13337,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11488,Boston Medical Center Healthnet,f,13337,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11489,Bravo Health ,f,52192,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11490,BridgeSpan,f,BRIDG,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11491,Bridgeway Arizona,f,68054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11492,Bryan Independent School,f,SB900,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11493,California Health & Wellness,f,68047,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11494,California Health & Wellness ,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11495,Capital Blue Cross of PA,f,23045,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11496,Capital District Physician's Health Plan (CDPHP),f,SX065,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11497,Capitol Administrators,f,68011,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11498,CapRock HealthPlans,f,CAPHP,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11499,Care Improvement Plus,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11500,Care Improvement Plus (CIP),f,77082,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11501,Care Oregon,f,Z1060,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11502,Care Source (OH),f,31114,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11503,CareFirst,f,SB570,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11504,Caremore,f,CARMO,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11505,CareMore Health Plan,f,CARMO,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11506,Careplus,f,95092,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11507,CarePlus Health Plan,f,65031,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11508,CarePlus Health Plans (Claims),f,95092,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11509,caresource,f,31114,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11510,Caresource KY (Humana),f,KYCS1,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11511,Caresource KY Marketplace,f,KYCS1,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11512,Carolina Care Plan,f,SX057,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11513,CBA - National Rural Electric Cooperative,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11514,CBA Blue/Blue Benefit Administrators,f,3036,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11515,CBSA,f,41124,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11516,CDS Group Health,f,88022,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11517,Celtic Insurance,f,68063,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11518,CenCal,f,Z1243,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11519,Cenpatico,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11520,Cenpatico - Florida,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11521,Cenpatico - Kansas,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11522,Cenpatico - Mississippi,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11523,Cenpatico - Missouri,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11524,Cenpatico - New Hampshire,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11525,Cenpatico - Wisconsin,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11528,Cenpatico Behavioral Health,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11529,Cenpatico Georgia,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11530,Cenpatico Illinicare,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11531,Cenpatico Indiana,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11532,Cenpatico Kentucky,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11533,Cenpatico Massachusetts,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11534,Cenpatico South Carolina,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11535,Cenpatico Texas,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11536,Centene Advantage Plans,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11537,CENTENE CORPORATION,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11538,CENTENE IL CENPATICO,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11539,CENTENE IL ILLINICARE HEALTH PLAN,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11540,CENTENE IN MANAGED HEALTH SERVICES,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11541,CENTENE IN MANAGED HEALTH SERVICES IN,f,39186,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11542,CENTENE MA CELTICARE HEALTH PLAN,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11543,CENTENE WA - COORDINATED CARE CORP,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11544,CenterLight Healthcare,f,13360,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11545,Central California Alliance for Health,f,SX169,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11546,Central Reserve Life Ins Co- Medicare Supplement,f,13193,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11547,Central Reserve Life Insurance Company,f,13193,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11548,Central States Health & Welfare Funds,f,36215,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11549,Centurion ,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11550,"CGLIC, Milwaukee ",f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11551,CHAMPVA/VA-HAC,f,84146,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11552,Chicago Laborers Health & Welfare Fund,f,SB621,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11553,Chickering Group,f,60054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11554,Child Health and Disability Prevention,f,68047,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11555,Child Health Plus,f,13334,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11556,Childhealth Plus by Healthfirst (CHP),f,80141,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11557,Children of Women Vietnam Veterans - VA HAC,f,84146,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11558,Childrens Community Health plan - Dean,f,39113,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11559,Choice One/UTMB CHIP Health Plan,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11560,Christian Brothers Services,f,38308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11561,Christus Health Medicare Advantage,f,10629,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11562,Christus Health NM HIX,f,21062,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11407,BCBS Arizona,f,SB530,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11408,BCBS Arkansas,f,SB520,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
